,index,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Uploader,Album ID,Album hrefs,Download URLs
0,22241,01 - C3842 - 3777-P_Nagamani-Mand,1,vanajAkSirO_I_viraha-VARNAM,kalyANi,poochi_srinivasa_iyengar,P Nagamani,1,c3842,https://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3777-P_Nagamani-Mandolin/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-3601---3800/3777-P_Nagamani-Mandolin/01-vanajAkSirO_I_viraha-kalyANi.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3777-P_Nagamani-Mandolin/
2,22421,57 - C0284 - 284-Pudhukkodu_Krish,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,Pudukode K Krishnamoorthy,57,c0284,https://www.sangeethamshare.org/sreekanth/284-Pudhukkodu_Krishnamurthy-Live_Concert1/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sreekanth/284-Pudhukkodu_Krishnamurthy-Live_Concert1/01-vanajAkSi_nine_kOri-VARNAM-kalyANi.MP3&amp;url=http://www.sangeethamshare.org/sreekanth/284-Pudhukkodu_Krishnamurthy-Live_Concert1/
3,22240,01 - C3795 - 3730-Seetha_Narayana,1,vanajAkSirO_I_viraha-VARNAM,kalyANi,poochi_srinivasa_iyengar,Seetha Narayanan,1,c3795,https://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3730-Seetha_Narayanan/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-3601---3800/3730-Seetha_Narayanan/01-vanajAkSirO_I_viraha-kalyANi.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3730-Seetha_Narayanan/
4,22471,14 - C0065 - 066_Oct2312_KVS-RS-G,7,vAsudEvayani_veDalina,kalyANi,tyAgarAja,K Sathyanarayanan,14,c0065,https://www.sangeethamshare.org/sathya/066_Oct2312_KVS-RS-GHS-MhaswamiVidhyaMandhir-Rajakilpakkam/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sathya/066_Oct2312_KVS-RS-GHS-MhaswamiVidhyaMandhir-Rajakilpakkam/07_BoSambo_Revathy_Adi_SwamiDhayanandaSaraswathi.mp3&amp;url=http://www.sangeethamshare.org/sathya/066_Oct2312_KVS-RS-GHS-MhaswamiVidhyaMandhir-Rajakilpakkam/
5,21575,15 - C0204 - 199-M.D.Ramanathan-A,4,ninnu_vinA_gati_gAna,kalyANi,subbarAya_shAstri,MD Ramanathan,15,c0204,https://www.sangeethamshare.org/muralidaran/Uploads-101-200/199-M.D.Ramanathan-AIR_Concert-11_excerpts/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/muralidaran/Uploads-101-200/199-M.D.Ramanathan-AIR_Concert-11_excerpts/04-ninnu_vinA_gati_gAna-kalyANi.mp3&amp;url=http://www.sangeethamshare.org/muralidaran/Uploads-101-200/199-M.D.Ramanathan-AIR_Concert-11_excerpts/
6,20775,10 - C0387 - 384-Ivaturi_Vijayesw,7,endukO_nI_manasu_karagadu,kalyANi,tyAgarAja,Ivaturi Vijayeswara Rao,10,c0387,https://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/384-Ivaturi_Vijayeswara_Rao-Violin-101082/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-201-400/384-Ivaturi_Vijayeswara_Rao-Violin-101082/07-gurulEka_eTuvaNTi_guNiki-gaurimanOhari.mp3&amp;url=http://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/384-Ivaturi_Vijayeswara_Rao-Violin-101082/
7,22190,01 - C2744 - 2767-S_Rajeswari,4,unaiyallAl_vErE,kalyANi,pApanAsam_sivan,S Rajeswari,1,c2744,https://www.sangeethamshare.org/tvg/UPLOADS-2601---2800/2767-S_Rajeswari/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2601---2800/2767-S_Rajeswari/04-unaiyallAl_vErE-kalyANi.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-2601---2800/2767-S_Rajeswari/
12,22234,01 - C2077 - 2085-S_Mahathi-Navar,1,vanajAkSirO_I_viraha-VARNAM,kalyANi,poochi_srinivasa_iyengar,S Mahathi,1,c2077,https://www.sangeethamshare.org/tvg/UPLOADS-2001---2200/2085-S_Mahathi-Navarathnamalai/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2001---2200/2085-S_Mahathi-Navarathnamalai/01-vanajAkSirO_I_viraha-kalyANi-poochi_srinivasa_iyengar.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-2001---2200/2085-S_Mahathi-Navarathnamalai/
13,20999,01 - c2752 - 2775-Tanjore_S_Kalya,1,gaNapatE_mahamatE,kalyANi,m_dIkshitar,Tanjore S Kalyanaraman,1,c2752,https://www.sangeethamshare.org/tvg/UPLOADS-2601---2800/2775-Tanjore_S_Kalyanaraman-Isai_Pettagam/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2601---2800/2775-Tanjore_S_Kalyanaraman-Isai_Pettagam/01-gaNapatE_mahamatE-kalyANi.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-2601---2800/2775-Tanjore_S_Kalyanaraman-Isai_Pettagam/
18,20655,01 - C3161 - 3150-KV_Ramanujam-Fl,3,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,KV Ramanujam,1,c3161,https://www.sangeethamshare.org/tvg/UPLOADS-3001---3200/3150-KV_Ramanujam-Flute-TV_Audio/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-3001---3200/3150-KV_Ramanujam-Flute-TV_Audio/03-birAna_varAlicci_brOvumu-kalyANi.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-3001---3200/3150-KV_Ramanujam-Flute-TV_Audio/
