,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs,Download URLs
11284,06 - c0085 - 0096-Violin-Trio-Pro,4,evarIkai_avatAram_ettitivO,dEvamanOhari,tyAgarAja,M Subramanya Sharma,https://www.sangeethamshare.org/svasu/UPLOADS-0001-0200/0096-Violin-Trio-Prof-M.Subramania-Sharama--S.R.Mahadeva-Sharma-Smt.Rajashree-11-03-07/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/svasu/UPLOADS-0001-0200/0096-Violin-Trio-Prof-M.Subramania-Sharama--S.R.Mahadeva-Sharma-Smt.Rajashree-11-03-07/04-evarIkai_avatAram_ettitivO-dEvamanOhari.mp3&amp;url=https://www.sangeethamshare.org/svasu/UPLOADS-0001-0200/0096-Violin-Trio-Prof-M.Subramania-Sharama--S.R.Mahadeva-Sharma-Smt.Rajashree-11-03-07/
4642,01 - C0178 - 1282-Gayathri_Venkat,1,karuNAnidhiyE_tAyE,bauLi,pApanAsam_sivan,Gayathri Venkataraghavan,https://www.sangeethamshare.org/tvg/UPLOADS-1201---1400/1282-Gayathri_Venkataraghavan-Navarathnamalai/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1201---1400/1282-Gayathri_Venkataraghavan-Navarathnamalai/01-karuNAnidhiyE_tAyE-bauLi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1201---1400/1282-Gayathri_Venkataraghavan-Navarathnamalai/
40590,09 - C0035 - ARI--049--PKSV-PMI-,1,telisi_rAma_cintanatO,pUrNacandrikA,tyAgarAja,Ariyakudi Ramanuja Iyengar,https://www.sangeethamshare.org/ksj/Ariyakkudi-Ramanuja-Iyengar/ARI--049--PKSV-PMI-/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ksj/Ariyakkudi-Ramanuja-Iyengar/ARI--049--PKSV-PMI-/01---Telisi-Rama---Poornachandrika.mp3&amp;url=https://www.sangeethamshare.org/ksj/Ariyakkudi-Ramanuja-Iyengar/ARI--049--PKSV-PMI-/
11407,09 - C0026 - ARI--033--TNK-PMI-PS,10,nIkEla_nAyeDa,dEvamanOhari,poochi_srinivasa_iyengar,Ariyakudi Ramanuja Iyengar,https://www.sangeethamshare.org/ksj/Ariyakkudi-Ramanuja-Iyengar/ARI--033--TNK-PMI-PSP-/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ksj/Ariyakkudi-Ramanuja-Iyengar/ARI--033--TNK-PMI-PSP-/10---Neekelana---Devamanohari.mp3&amp;url=https://www.sangeethamshare.org/ksj/Ariyakkudi-Ramanuja-Iyengar/ARI--033--TNK-PMI-PSP-/
13587,01 - c0489 - 1531-Desur_DSD_Selva,2,sArasamukhi_sakala,gauDamalhAr,muthaiah_bAgavatar,Desur DSD Selvarathinam,https://www.sangeethamshare.org/tvg/UPLOADS-1401---1600/1531-Desur_DSD_Selvarathinam-Nadhaswaram//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1401---1600/1531-Desur_DSD_Selvarathinam-Nadhaswaram/02-sArasamukhi-gowdamalhAr-h.m.bhAgavatar.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1401---1600/1531-Desur_DSD_Selvarathinam-Nadhaswaram/
59772,15 - C0278 - 274-Nithyasree_Mahad,6,vara_nArada_nArAyaNa,vijayashrI,tyAgarAja,Nithyasri Mahadevan,https://www.sangeethamshare.org/muralidaran/Uploads-201-300/274-Nithyasree_Mahadevan-Live_Concert-4//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/muralidaran/Uploads-201-300/274-Nithyasree_Mahadevan-Live_Concert-4/06-vara_nArada_nArAyaNa-vijayashrI.mp3&amp;url=https://www.sangeethamshare.org/muralidaran/Uploads-201-300/274-Nithyasree_Mahadevan-Live_Concert-4/
12569,09 - C0128 - SSI--016--Bombay,3,teliyalEru_rAma_bhakti,dhEnukA,tyAgarAja,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/ksj/Semmangudi-Srinivasa-Iyer/SSI--016--Bombay//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ksj/Semmangudi-Srinivasa-Iyer/SSI--016--Bombay/03---Teliyaleru-Rama---Dhenuka.mp3&amp;url=https://www.sangeethamshare.org/ksj/Semmangudi-Srinivasa-Iyer/SSI--016--Bombay/
39459,06 - c0621 - 0715_Ms.SubashreeRam,4,ranganAyakam_bhAvayEham,nAyaki,m_dIkshitar,Subhashree Ramachandran,https://www.sangeethamshare.org/svasu/UPLOADS-0601-0800/0715_Ms.SubashreeRamachandran/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/svasu/UPLOADS-0601-0800/0715_Ms.SubashreeRamachandran/04-ranganAyakam_bhAvayEham-nAyaki.mp3&amp;url=https://www.sangeethamshare.org/svasu/UPLOADS-0601-0800/0715_Ms.SubashreeRamachandran/
26218,01 - C5281 - 5184-Pemmaraju_Surya,4,inta_saukhyamani_nE_ceppajala,kApi,tyAgarAja,Pemmaraju Surya Rao,https://www.sangeethamshare.org/tvg/UPLOADS-5001---5200/5184-Pemmaraju_Surya_Rao-Ragam_24x7/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-5001---5200/5184-Pemmaraju_Surya_Rao-Ragam_24x7/04-inta_saukhyamani_nE_ceppajala-kApi-tyAgarAja.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-5001---5200/5184-Pemmaraju_Surya_Rao-Ragam_24x7/
51387,01 - C2680 - 2698-R_Vedavalli-Isa,2,kanakavEla,shrI,koTESwara_Iyer,R Vedavalli,https://www.sangeethamshare.org/tvg/UPLOADS-2601---2800/2698-R_Vedavalli-Isai_Charal//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2601---2800/2698-R_Vedavalli-Isai_Charal/02-kanakavEla-shrI-koTESwara_Iyer.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-2601---2800/2698-R_Vedavalli-Isai_Charal/
